label1,label2,value
1,2,37
2,3,21
1,5,18
2,5,15
2,4,14
3,7,6
1,3,5
5,9,4
4,5,4
3,5,4
3,4,3
1,13,3
3,9,2
3,6,1
2,6,1
1,6,1
7,9,1
1,4,1
3,8,1
2,9,1
3,10,1
2,10,1
4,10,1
2,11,1
3,12,1
1,7,1
2,8,1
2,13,1
3,13,1
